time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15406,24.675612,281.429744,22.20302817,44.436783,44.479192
15407,24.660813,280.203497,22.20302817,44.373974,44.436783
15408,24.666423,280.646887,22.20302817,44.331664,44.373974
15409,24.674511,280.625474,22.20302817,44.292921,44.331664
15410,24.671749,281.203976,22.20302817,44.248731,44.292921
15411,24.671894,280.968432,22.20302817,44.216234,44.248731
15412,24.684195,281.061183,22.20302817,44.167119,44.216234
15413,24.665295,280.467436,22.34156266,44.100722,44.167119
15414,24.66014,279.574255,22.11353888,44.071855,44.100722
15415,24.648314,280.891159,22.34156266,44.021245,44.071855
15416,24.650542,281.042097,22.34156266,43.988295,44.021245
15417,24.660951,281.23947,22.20302817,43.95953,43.988295
15418,24.650634,281.374116,22.34156266,43.911758,43.95953
15419,24.661531,281.426369,50.52439156,43.880296,43.911758
15420,24.66666,281.30755,50.48454013,43.831374,43.880296
15421,24.651195,281.831355,50.45797251,43.809148,43.831374
15422,24.649712,281.1807,50.79006777,43.779348,43.809148
15423,24.649777,280.752905,50.43140489,43.772837,43.779348
15424,24.654036,226.621372,50.77678395,44.297966,43.772837
15425,24.637015,194.185815,50.43140489,44.702517,44.297966
15426,24.647345,188.709888,50.01849091,44.977949,44.702517
15427,24.642269,186.99021,50.25140675,45.179993,44.977949
15428,24.650298,186.546005,50.55568362,45.388301,45.179993
15429,24.642427,186.608033,50.21171847,45.572593,45.388301
15430,24.64811,186.276363,50.21171847,45.778761,45.572593
15431,24.641972,186.26554,50.34786709,45.958361,45.778761
15432,24.641254,186.814483,50.55568362,46.153889,45.958361
15433,24.650048,187.08587,50.00531586,46.359396,46.153889
15434,24.650483,186.55741,50.34786709,46.563235,46.359396
15435,24.654761,186.411475,50.34786709,46.763346,46.563235
15436,24.643627,187.011157,50.00531586,46.976591,46.763346
15437,24.64043,187.490158,50.21171847,47.188987,46.976591
15438,24.646402,186.662264,50.2249479,47.401292,47.188987
15439,24.653812,185.592425,50.21171847,47.610451,47.401292
15440,24.658143,185.874752,50.00531586,47.824247,47.610451
15441,24.647272,186.471525,50.34786709,48.043685,47.824247
15442,24.649646,186.303362,50.01849091,48.272218,48.043685
